#article,wikiTITLE
36258669,"Lists of deaths by year"
372801,"List of Naruto characters"
3414021,"George W. Bush"
2337812,"List of WWE personnel"
14439630,"List of One Piece characters"
1001666,"List of Dragon Ball characters"
3434750,"United States"
251212,"RuneScape"
3410343,"List of Sonic the Hedgehog characters"
5043734,"Wikipedia"
8835,"Digimon"
380021,"Jutsu (Naruto)"
303197,"List of Star Wars characters"
14995351,"Michael Jackson"
1095706,"Jesus"
8697957,"List of Digimon Adventure characters"
606848,"Catholic Church"
3784152,"List of programs broadcast by ABS-CBN"
2731583,"Adolf Hitler"
534366,"Barack Obama"
32927,"World War II"
3382,"Britney Spears"
621216,"List of minor planets/2001–3000"
1449500,"List of Resident Evil characters"
12032281,"List of Pokémon (441–493)"
621396,"List of minor planets/3001–4000"
421853,"Wii"
345792,"The Undertaker"
29812,"The Beatles"
14533,"India"
52547,"Jehovah's Witnesses"
719861,"List of minor planets: 4001–5000"
31717,"United Kingdom"
4478284,"List of Inuyasha characters"
42930508,"List of Ben 10 aliens"
142056,"Madonna (entertainer)"
262376,"Roger Federer"
26413,"Real Madrid C.F."
6299613,"2006 Lebanon War"
5042951,"Global warming"
24951,"PlayStation 3"
292279,"List of recurring The Simpsons characters"
68187,"FC Barcelona"
719876,"List of minor planets: 5001–6000"
311937,"Kane (wrestler)"
1620586,"Avatar: The Last Airbender"
191890,"American Idol"
18934,"Muhammad"
12373394,"List of Pokémon (387–440)"
645042,"New York City"
9288,"Elvis Presley"
14305065,"Ninja World"
6037917,"Islam"
6106572,"List of Hollows in Bleach"
391371,"Dumbledore's Army"
8952317,"List of Degrassi: The Next Generation characters"
62676,"WWE"
20855562,"Gaza War (2008–09)"
92656,"Same-sex marriage"
8242057,"Blink-182"
8718425,"Circumcision"
29056,"Sonic the Hedgehog (character)"
3152703,"List of characters in the Metal Gear series"
147575,"Ireland"
1610197,"The Legend of Zelda: Twilight Princess"
17843985,"List of Fullmetal Alchemist characters"
16454230,"Lost (TV series)"
307,"Abraham Lincoln"
3356,"Bill Clinton"
173486,"Power Rangers"
22989,"Paris"
26494,"Race and intelligence"
156126,"Dwayne Johnson"
414848,"Kelly Clarkson"
2387806,"Harry Potter"
18787,"Metallica"
210892,"Firefox"
5405,"China"
13118744,"Scientology"
11054,"Fascism"
578152,"Big Show"
4460092,"List of The Suite Life of Zack & Cody episodes"
471284,"List of experiments from Lilo & Stitch"
3383,"Brazil"
5207311,"Heroes (TV series)"
68769,"24 (TV series)"
26678,"Star Wars"
17771,"Lebanon"
4689264,"Australia"
30035,"The Legend of Zelda"
379591,"World of Warcraft"
10705678,"Virginia Tech shooting"
886286,"List of Major League Baseball career home run leaders"
9236,"Evolution"
100627,"Emo"
4637590,"Bob Dylan"
13543,"Hinduism"
32611,"Vietnam War"
3267529,"Buddhism"
2941511,"Sarah Palin"
2034236,"Organization XIII"
1925533,"List of EastEnders characters"
5122699,"John Kerry"
