#editor,wikiID
22,Graft
32,Quercusrobur
42,Ed Poor
51,Deb
62,Derek Ross
135,Fifelfoo
136,Sam Spade
143,TonyClarke
151,SimonP
158,Owen
163,Kevehs
180,Moriori
182,Anthony
217,Everyking
271,Nikodemos
280,Neutrality
332,Rich Farmbrough
336,Altenmann
371,Max rspct
383,Shanes
420,RJII
450,Silverback
453,Ahoerstemeier
476,Pokrajac
478,Harry491
479,Ultramarine
490,Nat Krause
493,Philwelch
514,Dralwik
535,LeeHunter
557,Hogeye
576,Wilfried Derksen
604,Graham87
609,Gadfium
615,Nirvana2013
629,Chobot
636,NWOG
683,Dannyno
727,MONGO
735,とある白い猫
759,Beland
777,RoyBoy
778,Jaranda
799,Aaron Schulz
877,AaronS
899,Wiki alf
903,Sunray
914,User2004
949,Lulu of the Lotus-Eaters
957,Titoxd
972,Marudubshinki
995,Infinity0
1033,Hetar
1044,Jpgordon
1066,Anonymous editor
1089,Art LaPella
1107,Tasc
1130,Vision Thing
1158,SmackBot
1159,Koavf
1174,Electionworld
1185,The JPS
1186,Rory096
1195,Andrew c
1206,Gwernol
1207,Cydebot
1222,Griot~enwiki
1232,Oberst
1247,Getcrunk
1312,RussBot
1351,Hongkyongnae
1358,WGee
1366,Ta bu shi da yu
1393,DTC
1435,Ryulong
1451,Ricky81682
1469,Centrx
1470,Anarcho-capitalism
1530,Khoikhoi
1533,Dwaipayanc
1563,Kurykh
1574,Antaeus Feldspar
1586,JLMadrigal
1597,Midnightblueowl
1608,MapsMan
1615,Jacob Haller
1646,Geni
1663,Th1rt3en
1670,LGagnon
1720,LOL
1738,Indon
1777,Skomorokh
1794,Dekimasu
1808,Gomm
1832,Ohnoitsjamie
1878,Operation Spooner
1908,TKD
1914,Earth
1929,Sundar
1930,Andy Marchbanks
1932,JayJasper
1935,Raul654
1943,Tazmaniacs
1982,ClueBot
1988,Green Giant
1995,Closedmouth
1996,Carolmooredc
2003,CambridgeBayWeather
2052,Malik Shabazz
2059,Arbor to SJ
2081,Doomsday28
2098,Modernist
2113,Otolemur crassicaudatus
2114,Happy-melon
2129,YellowMonkey
2134,JeremyA
2166,Efe
2204,TheOldJacobite
2246,Fram
2292,Parkwells
2296,AlexiusHoratius
2330,Thingg
2415,Spylab
2454,RolandR
2460,Jrtayloriv
2464,Kosebamse
2482,Spidern
2498,Eduen
2501,AnomieBOT
2528,Numbo3-bot
2537,Dbachmann
2560,Cybercobra
2563,Xqbot
2564,Thumperward
2579,NuclearWarfare
2589,Soxwon
2593,JJARichardson
2596,A8UDI
2604,Battlecry
2608,R'n'B
2625,Thijs!bot
2641,Neelix
2660,Gogo Dodo
2661,Prolog
2674,ArthurBot
2677,Alexbot
2711,BigK HeX
2723,Blue-Haired Lawyer
2726,AtticusX
2727,EmausBot
2762,WikitanvirBot
2768,ClueBot NG
2777,Yobot
2785,Darkstar1st
2793,Tbhotch
2796,KamikazeBot
2798,Luckas-bot
2805,Magioladitis
2814,CWenger
2835,Bongwarrior
2860,Byelf2007
2928,Hcobb
2929,Samil20
2936,Alph Bot
2946,One Night In Hackney
2968,ZéroBot
2973,Materialscientist
2982,Afterwriting
2988,Discospinster
3021,ChrisGualtieri
3037,Khazar2
3038,Addbot
3054,GoingBatty
3063,Yopienso
3074,Alexf
3078,Zzyzx11
3092,Redrose64
3095,RichardWeiss
3103,MisterDub
3108,Doc James
3119,John Reaves
3124,C.J. Griffin
3127,Flyer22
3168,Lihaas
3180,John
3192,Zozs
3214,Derek R Bullamore
3262,The Anome
3346,Dale Arnett
3375,Infrogmation
3393,TMC1982
3432,Sade
3463,Astanhope
3475,RK
3547,Ryan Norton
3562,PDH
3565,Lacrimosus
3653,Bcrowell
3672,Marskell
3749,Fastfission
3764,Jengod
3860,Zeraeph
4018,Fys
4033,Guliolopez
4037,SandyGeorgia
4045,Sandstein
4135,WLU
4277,Coemgenus
4278,Myasuda
4336,Joelr31
4391,TimVickers
4445,SouthernNights
4457,Dubhagan
4514,Doczilla
4516,Aude
4551,C.Fred
4554,Backin72
4585,Tariqabjotu
4602,ZimZalaBim
4623,Apostrophe
4651,Stephenb
4750,Golbez
4846,Eubulides
4858,BrokenSphere
4861,Canterbury Tail
4915,WhisperToMe
4943,WBardwin
4944,Derek.cashman
4959,Nandesuka
5019,Vanished user
5079,Kuru
5089,Circeus
5114,Onorem
5138,Thehelpfulone
5142,Lid
5179,Lilac Soul
5200,Orangemarlin
5249,Nahallac Silverwinds
